Name,Classification,Legs,Tail,Wings,Fins/Flippers,Size,Climate,Endangered Rating,,
Numbat,Marsupial,4,Y,N,N,S,Temporate|Scrubland,EN,,
Woylie,Mammal,4,Y,N,N,S,Scrubland,CE,,
Southern Snapping Turtle,Reptile,4,Y,N,Y,M,Temporate,CE,,
Hawksbill Turtle,Reptile,0,Y,N,Y,M,Coral Reef,CE,,
Grey Nurse Shark,Fish,0,Y,N,Y,L,Temporate Ocean,CE,,
Sawfish,Fish,0,Y,N,Y,L,Tropical,CE,,
Mountain Pygmy Possum,Marsupial,4,Y,N,N,S,Alpine,CE,,
Regent Honey Eater,Bird,2,Y,Y,N,S,Temporate,CE,,
Western Brown Snake,,0,Y,N,N,M,Desert|Temporate|Scrubland,LC,,
Red Kangaroo,,2,Y,N,N,L,Desert|Scrubland,LC,,
Koala,,4,N,N,N,M,Temporate,VU,,
Rock Wallaby,,2,Y,N,N,M,Scrubland|Subtropical,EN,,
Wombat,,4,Y,N,N,M,Temporate,VU,,
Wedge Tailed Eagle,,2,Y,Y,N,M,Dessert|Scrubland,LC,,
Pelican,,2,Y,Y,N,M,Temporate Ocean,LC,,
Funnel Web Spider,,8,N,N,N,XS,Temporate,LC,,
Brush Tail Possum ,,4,Y,N,N,S,Temporate,VU,,
Echidna,,4,Y,N,N,S,Dessert|Scrubland,VU,,
Numbat,,4,Y,N,N,S,Dessert|Scrubland,CE,,
Emu,,2,Y,Y,N,L,Dessert|Scrubland,LC,,
Western Australian Dhufish,,0,Y,N,Y,M,Temporate Ocean,VU,,
Platapus,,4,Y,N,Y,M,Temporate,EN,,
Sea Gull,,2,Y,Y,N,S,Everywhere,LC,,
Whale Shark,,0,Y,N,Y,XL,Coral Reef,VU,,
Dingo,,4,Y,N,N,M,Dessert|Scrubland,LC,,
Little Penguin,,2,Y,Y,Y,S,Temporate,LC,,
Quokka,,4,Y,N,N,S,Temporate,VU,,
Salt water Crocodile,,4,Y,N,N,XL,Tropical|Equatorial,LC,,
Tasmanian Devil,,4,Y,N,N,S,Temporate,EN,,
Green Tree Frog,,4,Y,N,N,XS,Tropical,LC,,
Frill Necked Lizard,,4,Y,N,N,S,Dessert|Scrubland,LC,,
Blue Tongued Lizard,,4,Y,N,N,S,Temporate|Scrubland,EN,,
Taipan,,0,Y,N,N,M,Dessert|Scrubland|Subtropical,LC,,
Cassowary,,2,Y,Y,N,L,Sub Tropical| Tropical,VU,,
Goanna,,4,Y,N,N,M,Dessert|Scrubland,LC,,
Bilby,,4,Y,N,N,S,Dessert|Scrubland,EN,,
Kookaburra,,2,Y,Y,N,S,Temporate|Scrubland,LC,,
Dugong,,0,Y,N,Y,L,Coral Reef,VU,,
Gang Gang Cockatoo,,2,Y,Y,N,S,Temporate,EN,,
